date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:06	26040/26040	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jan%202018%2017:17:02%20GMT	https://sushi7.net/wp-content/uploads/2018/01/bg-main.png	./mirror/sushi7.net/sushi7.net/wp-content/uploads/2018/01/bg-main.png	(from https://sushi7.net/)
19:27:08	302309/302309	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202019%2017:03:45%20GMT	https://sushi7.net/wp-content/uploads/2019/08/feat-about.jpg	./mirror/sushi7.net/sushi7.net/wp-content/uploads/2019/08/feat-about.jpg	(from https://sushi7.net/)
19:27:15	486821/486821	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Aug%202019%2021:00:09%20GMT	https://sushi7.net/wp-content/themes/wp_igloo5-v1.4/custom.css	./mirror/sushi7.net/sushi7.net/wp-content/themes/wp_igloo5-v1.4/custom.css	(from https://sushi7.net/)
19:27:16	961900/961900	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jul%202019%2021:39:15%20GMT	https://sushi7.net/wp-content/uploads/2019/07/feat-about.jpg	./mirror/sushi7.net/sushi7.net/wp-content/uploads/2019/07/feat-about.jpg	(from https://sushi7.net/)
19:27:17	47299/47299	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202019%2014:22:25%20GMT	https://sushi7.net/wp-content/uploads/2019/06/logo-top-1.png	./mirror/sushi7.net/sushi7.net/wp-content/uploads/2019/06/logo-top-1.png	(from https://sushi7.net/)
19:27:19	122098/122098	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Dec%202020%2016:16:25%20GMT	https://sushi7.net/wp-content/uploads/2020/12/diy-sushi-icon.png	./mirror/sushi7.net/sushi7.net/wp-content/uploads/2020/12/diy-sushi-icon.png	(from https://sushi7.net/)
19:27:19	112702/112702	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202026%2010:45:56%20GMT	https://sushi7.net/contact-us/	./mirror/sushi7.net/sushi7.net/contact-us/index.html	(from https://sushi7.net/)
19:27:20	96441/96441	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Dec%202020%2016:16:29%20GMT	https://sushi7.net/wp-content/uploads/2020/12/diy-sushi-icon-video.png	./mirror/sushi7.net/sushi7.net/wp-content/uploads/2020/12/diy-sushi-icon-video.png	(from https://sushi7.net/)
19:27:21	186740/186740	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202026%2010:45:54%20GMT	https://sushi7.net/about-us/	./mirror/sushi7.net/sushi7.net/about-us/index.html	(from https://sushi7.net/)
19:27:22	361691/361691	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Apr%202021%2013:44:05%20GMT	https://sushi7.net/wp-content/uploads/2021/04/bg-video.jpg	./mirror/sushi7.net/sushi7.net/wp-content/uploads/2021/04/bg-video.jpg	(from https://sushi7.net/)
